text_raw,real_y,vader_pred,tb_pred,tr_pred,tr_top_emotion
"Shanghai to Tampa via Heathrow/Gatwick. We received deplorable customer service recently from British Airways. I purchased business class tickets on 11/28/2016 for flights on September 30, 2017. I purchased two tickets for a total of $9,676.26 plus an additional $652 for seat assignments. The problems occurred on our return flights. We were booked October 17, 2017 on BA168 Shanghai to LHR  London with continuing service, October 18, 2017 from London Gatwick)to Tampa. We were disembarking a cruise ship at the port of Shanghai on October 17, 2017. We checked in online 24 hours before our flights scheduled departure at 11:00 A.M. On the evening of October 16, 2017 the captain announced that the ship would not dock at the port as scheduled at 7:00 A.M. In the morning on October 17, the Captain announced that the Chinese had shut down the port and were not allowing any ships to dock. After these announcements we frantically tried to contact British Airways because we expected that we would miss our 11:00 AM flight. We were unable to do so. We were informed that in order to exit China without a visa, we needed to have proof of our flights leaving the country. We were aware of this requirement. We had not applied for a visa because we were only transiting from the ship to the airplane. We knew that without a visa of valid flights out, we would be escorted to the local Chinese police station until we could arrange flights out of the country. For obvious reasons we did not want to experience that situation. We were able to contact a travel agent via e-mail (our phone was not operating as we were at sea in Chin ). Our agent was able to contact British Airways and explain our situation. There was another flight that departed on October 18, which was 13 hours 40 minutes after our original flight. That was Flt BA 160. We were told here are your choices: 1. Pay a change fee of $884 and be down graded to premium economy on both flights, BA 160 and BA 2167 , even though we would be able to make BA 2167 as it did not depart London (LGW) until 11:55 AM on October 18, 2017. 2. Pay an additional $6,388 per person for a total of $12,776 to keep our business class status on both flights. (We had already paid $10,328.26 for these tickets). 3. Disembark the ship and take our chances with Chinese immigration. Option 2 was outrageous, Option 3 frightening. We felt we had no choice but to choose Option 1. The travel agent advised us to explain what had happened when we arrived at the airport at check-in and request our business class seats if they were available. When we checked in at PVG we asked if there were business class seats available. “Yes, several” was the response. We explained what had happened and asked as a courtesy if we could have those vacant seats. “Yes, for a cost of $12,776 “. Of course we refused to pay that amount. We were then charged additional baggage fees because as we had expected to be flying business class, two suitcases were over the 50 lbs limit for economy. While on board during that flight BA160, I went into the business class cabin and saw that there were indeed vacant seats. When we arrived in London we again asked to be seated in our originally purchased seats. Were we on the same flight as originally scheduled, but I was informed that our business class seats had already been assigned to other flyers. Apparently British Airways sold our seats or an upgrade to other passengers at our expense.",,negative,neutral,negative,fear
"The flight left on time and arrived early, which was great. The B747-400 fleet of BA needs either replacement or complete refit of the interiors. The aircraft was old and looked it. The food was pretty standard but compared with our earlier Cape Town to London flight much better and more complete, why the lack of consistency is unclear. The inflight entertainment offering is good but the TV screens are small and worn delivering poor quality images. Staff were excellent, efficient and friendly and went out of their way to make the journey more pleasant",,positive,positive,positive,joy
"Short trip to Vienna in BA Economy Class from Terminal 3. New A320 cabin on the flight out - looks nice and fairly comfortable for a couple of hours. Other than the cheap, highly processed cheese and ham croissant and a coffee you are given it is no different to a low cost airline. Staff service minimal - they served breakfast and collected the leftovers, basically in the cabin twice during the entire 2 hour and 10 minute flight - not even an additional beverage service. I'm sure if they were flogging the drinks it would be different. Return a couple of days later, older aircraft but clean. Same indifferent service, similar processed carbs handed out in silence and 1 drink. This wasn't a cheap ticket (over 200GBP) - I know BA are competing with low cost airlines in Europe but when are they going to realise they aren't a low cost airline? A bit of chat from the staff and a couple of extra coffees would have made all difference to how I felt leaving those flights. BA sadly seem to be falling behind the crowd.",,negative,positive,positive,joy
I am one of those crazy people who still (until recently) flew Edinburgh - London Heathrow weekly paying nearly £400 with British Airways as it's the key airport. Now the last flight always comes to a remote stand and the morning flight (boarding 6.15 for 6.50 flight) is onto a bus to a plane that is never ready and always departs late. Holidays in Madeira ended with me and mum sitting on the floor in a departure hall for 5.5hrs. I wrote to BA and got the big fob off. Add insult to injury and no food at all on the plane! So game over for me and any trace of a relationship. It's now tedious & you have to put in all the effort to loyalty with absolutely no return affection!,,negative,negative,negative,sadness
"Montreal to Rome via London with British Airways. Boarded the plane on time (20.30hrs) and sat for six hours on the tarmac while BA tried to clear a glitch in the landing gear system. They finally gave up and cancelled the flight. I had to get to Rome to catch a cruise ship that was departing at 8pm on Tuesday evening, and here I am in Montreal at 1pm Monday, Rome time. British Airways ticket agent refused to help me change my itinerary (""Go to the hotel on the bus and at 2pm today - local time - we will have new itineraries for everyone.""). I tried to explain the urgency to my situation but she cut me off, ""I can't help you, if I help you now I have to help everyone."" When I pressed her further she gave me the BA 800 number, which was closed due to the late hour. Finally I called British Airways Reservations in London, who re-routed me, on American Airlines. The final kick: I put in a claim for a wasted night's guaranteed stay in Rome, and for cancellation compensation. A month later, British Airways advised me that my claim was approved and I would receive payment in two weeks. Since then, nothing for the last 6 weeks. Phone calls to customer support involve at least a 40 minute hold. What a horrid excuse for customer service!",,positive,neutral,negative,anger
LHR-PEK-LHR. We travel BA club world often and my overall impression is very good. Yes sometimes the attitude of the staff can be not up to expectations or the food not comparable with some of the Asian airlines but the price you pay for a business class seat with BA is unbeatable. And for me a flat bed on an overnight flight is what matters the most. Contrary to general recommendations when I travel with a companion I prefer the middle seats on the main deck and not the upper deck because by using the screen you can have your own little intimate cabin. And if the flight is not full is so much better than the claustrophobic upper deck. Strongly recommended for a discounted ticket.,,positive,positive,positive,joy
"London to Zurich. The airline isn’t bad. Their boarding procedure was very good, though the aircraft was very old. I know it is one of the oldest, and personally I enjoyed it. But if I have to be realistic, it’s very old, loud and uncomfortable. The service isn’t good either, you don’t even get a cup of water. It’s great to hop to London, but don’t expect any kind of special treatment or service.",,positive,positive,positive,joy
"This flight was one of the worst I have ever had in my life. I wanted to pamper myself, so I bought business class. I was looking forward to my new experience. I will not mention the chaos of changing gates several times, as these things may happen. What surprised me was the lack of attention to passengers. The flight was delayed by almost 3 hours. Even though staff offered vouchers, we had no idea where to get them, and we were told that we only had about 10 minutes to use them because boarding had already begun. Firstly, I did not see anyone with the voucher, and secondly, even if we got it, we were not able to use it. When I finally got to the airport, there was another waiting for about 30 minutes after cross check. Meantime, we were told that due to problems, they did not load any food, so the flight will be without any food on board. The only food offered and given to everyone on the plane was a small bag of nuts. As a business class passenger, I was offered drinks only. All in all, my business class contained 3 small glasses of juice.   I received no apology or compensation from the company at all. It was a disgraceful and cheap service for a very expensive price. ",,negative,negative,neutral,surprise
"BA34 KUL-LHR 6 Sept, return BA11 LHR-SIN-KUL on 16 Sept. All flights in World Traveller Plus with the exception of SIN-KUL on MH economy. On the KUL-LHR leg, the aircraft was clean and spacious in the PY cabin. The seats were the biggest let down. Whilst there was adequate legroom, they were hard and uncomfortable, especially when reclined with virtually no lumbar support. The headrest did not move at all. The seats taper at the waist which is odd and given that they are quite wide, there is very little storage apart from the usual pocket which I think is a missed opportunity by BA to maximise utilisation of space. The food was okay, you get two meals, the first being quite substantial but the second was a joke. IFE was okay but the best part of the journey was the staff who were pleasant and obliging. The return flight was on an A380. Excellent boarding procedure as it was a full flight. Again, seats were the same but the A380 has that wonderful storage space on the upper cabin. Staff were less conspicuous this time around. Overall, I would recommend them but attention needs to be paid to their seats.",,positive,positive,positive,joy
"British Airways is taking reservations and then cancelling flights without giving any reasons. We had further plans that all needed to be cancelled because of the flights. BA did nothing to ease the process and offered absolutely no explanation of why the flight was cancelled, I am not going to travel on BA again and may not travel again this year at all.",,negative,neutral,negative,sadness
"Have flown previously in British Airways Business Class. Flew in World Traveler economy class on this trip, with adult children on their first flight to England. Loading was chaotic. Seated middle four seat section, row 49. No air conditioning in cabin. Several of us complained about heat and lack of air flow. Did not get answer from stewardess until an hour into the flight. Took 3 hours before air conditioning kicked in. No room under the seat to store handbag. Seats appear to be smaller. When person in row in front of me reclined, I had minimal room to move or to access my purse. Little attention from cabin attendants. Told them I was getting dizzy from lack of cool air, and they allowed me to move to seat in galley where air was cooler from Business Class seats. Food served was terrible. No advance menu to choose from. No individual lighting or air. I thought it was my worst experience until immigration 2.5 hour wait in line to clear immigration / customs. Our prepaid taxi waited 90 minutes and then left. Horrible experience. The return flight was worse. Delayed 1.5 hours on the ground due to no air conditioning in Coach seating again, though First and Business had it. They brought us water in the last 30 minutes. Will never fly British Airways again.",,negative,negative,negative,sadness
"London to Philadelphia. Having booked business class and paid the non refundable fee, British Airways would not let me check in on line. When I reached Terminal 5 they bumped me due to overbooking. They offered me a downgrade that I could not accept for health reasons. If they had told me they were overbooked when I tried to check in online, I could have rerouted via New York and still arrived in time for an important meeting. As it was, I arrived 7 hours late and missed my meeting. British Airways only cares about maximising its profits. It cares nothing for its passengers. I have been a loyal customer of BA for over 50 years. For many years I was a gold card holder and this is how they treat me. They sold me a product and then sold the same product to someone else after I had paid the full and non refundable fare. They used to be good. their strapline, ""The World's Favourite Airline"" was not far from the truth. No longer! They are rapidly becoming the world's least favourite airline",,positive,positive,positive,love
"London to Nashville. The worst airline Trans-Atlantic. Despite looking forward to flying on this new route to Nashville, British Airways ruined this trip. The flight was delayed by over three hours, whilst they ostensibly replaced the damaged aircraft with an inbound Boeing 787-9 from San Jose. The airplane was filthy dirty in Club Class, which is bad enough having to suffer the awful, dated, Club Class ying-yang facing, narrow seats with divider. Business Class on British Airways is the worst of any airline. The WIFI was out of service. On late arrival in Nashville, my luggage arrived soaking wet, and I was unable to change clothes. On my return to the UK, I contacted British Airways Customer Relations to seek compensation, and got the usual pathetic, mainly computer generated, insincere apology. I am now forced to haggle with British Airways, and endure their woeful so-called Customer Relations department. It is a real shame to witness the decline of this national carrier. British Airways treat their premium class customers with contempt. This is what happens when an airline has a monopoly from Heathrow. ",,negative,negative,negative,anger
"My first long haul flight with British Airways for some years and what a mistake! I flew Premium Economy expecting it to be on par with its competitors especially Lufthansa or Virgin Atlantic - not so at all. At the airport, it took over 1 hour to check-in; there was no dedicated premium economy check in nor a premium economy boarding queue at the gate either; perhaps the plane would be a little special? No, not at all, it was an old Boeing 777 that had been designed to maximise seats at the expense of comfort; the cramped space of the premium economy cabin with its 2-4-2 seating was comparable to economy and was light years behind the modern and spaciousness of other airlines, and sitting in a middle row seat meant you could not physically squeeze past the person next to you to the aisle unless you woke the person up or you took your chance to stand over them and hope you manoeuvred successfully. Stupidly I had thought that competition would eliminate most differences between airlines. How wrong I was - avoid British Airways on the Hong Kong route if you are flying on a Boeing 777. My advise is to check the plane type before booking or you will suffer an expensive 13 hour flight reminiscent of over 20 years ago!",,negative,neutral,positive,joy
"Lots of cancellations and delays and no one apologized. Edinburgh to London on Feb 14th, 2023, our original flight was cancelled, and the rebooked one was cancelled as well, the third rebooked one was supposed to departure at 12:50 and had several delays until 2:24. Then we had to wait 57 minutes for our luggage to arrive.",,negative,positive,negative,sadness
"Cabin luggage had to go to cargo, even when I said I carried medicines. There was no time to get them out the hand luggage. The economy seats with Virgin Atlantic, KLM and even Ryanair have more space. Luckily it was a short flight.",,positive,positive,negative,anger
"London Heathrow to Krakow. I am a one world emerald member on AA so I get certain perks when flying British Airways such as free seat selection, lounge use and priority boarding - that makes this airline bearable - just. They are obsessed with carry on bags much like Ryanair giving out silly yellow tags for carry on bags and checking carry on sizes - not sure what it does for them as it only increases their bag handling costs. Their seats are no better than anyone else and their pitch just as tight. What used to set BA apart was their inflight service - even in coach a sandwich or something - this has degraded to nothing, zero - even a soft drink is charged. So I asked for water, I was offered an Evian for $5 - no thanks just plain water. Ok sir we will come back to you after we serve everyone else. Of course he never came back - 2.5 hour flight and not even allowed a cup of water. BA are listed as a 4 star airline,  AA are a 3 star yet AA now have better inflight service than BA by a country mile. BA are a bottom tier airline and nothing more to the average flier.",,positive,neutral,negative,anger
"Back in December my family and I as we were getting onto the plane were refused. Even though we had boarding passes and seats allocated and had booked 6 months in advance we were refused. It turns out that someone had not turned up to work and they couldn't let all the passengers on the plane. So quite randomly (not) 9 people were selected and turned away. We were selected as we had no check in luggage and it was easier to boot us off despite them not knowing my circumstances, if I had connecting flights in London etc. I sought compensation from BA (which I was told I could do) and what an absolute nightmare this process has been. They wouldn't acknowledge my complaint for my family until I had an authorisation letter from them saying I could act on their behalf. Even though, I booked and paid for the tickets. So, I uploaded the authorisation letter no less than 10 times. Every time they told me they received it and every time I followed it up they told me they hadn't. There was no other way except to post from Australia to the UK to some office. Eventually, it finally go through to them. I have now chased up the reimbursement four times. Each time they tell me it has been sent and to be patient. Today they tell me that they need to check my account details. So, again, I send them the same information that I have done before. AND I wait patiently for my reimbursement. I am convinced that their business model is for you to get so frustrated you just go away. Well, you know what I won't.",,negative,neutral,negative,anger
Our flight from London to Boston was okay. Disappointed to only be able to sit in middle of row of 10. Annoying to have to pay extra to have a window seat. Also catering on board is disappointing with only one meal plus a biscuit but crew were friendly and helpful. The return flight was different. Staff not particularly helpful. Person in front reclined seat fully and I wasn't able to fit food tray in. Crew member said I was causing problems for the man in front when I requested he put his seat up to eat. Also armrests did not lift up leaving less than 6 inches between seat in front and armrest meaning I was literally trapped in my seat for 6 hours. Not comfortable and unsafe in an emergency. We had one drinks trolley followed by a meal around an hour later. Staff then disappeared and only water or juice available for rest of flight. Will not use BA again. Delta and Virgin flights offer much better service.,,negative,neutral,positive,joy
I flew club world from JHB to LHR on 21/01 on the 747. The flight experience overall was a good one. Sitting on the upper deck of 747 is definitely a must as its a fair bit quieter than the main deck. The check in was a breeze and the staff at the desk were very friendly especially considering I was travelling with loads of luggage bicycle etc. I didn't use the lounge as I know the one in JNB is not very good. The boarding took place on time and we were offered pre takeoff drinks soon after seating. Take off was a bit delayed but smooth non the less. The food leaves a lot to be desired on BA I had the Salmon main course which was very bland. The up side the champagne was perfectly chilled and the desert was yummy. The seat configuration is not the best as you are facing your neighbour. The seat in the lounging position is very comfy but is a bit narrow for sleeping it's also a bit short for taller individuals such as myself. Arrival at T5 was very smooth as I used the fast track lane from landing to climbing in the taxi was less than 30 min. I would definitely fly BA again but they do need to look into the quality of food and the seat configurations for future upgrades.,,positive,positive,positive,joy
"Vancouver to London, we were upgraded to business class at the airport. The staff were absolutely delightful and had a fabulous trip. Really they could not have been more helpful and I would recommend them. ",,positive,positive,positive,joy
LIS-LHR-VIE on Dec. 8 both legs on an Airbus 320 in Club Europe (Business Class) - both legs on time seats were Economy seats with the middle seat left unsold and featuring the new slim seats which are less comfortable and have a reduced seat pitch – Check-in in LIS was handled by rather surly agents which was untypical for an otherwise friendly airport but Business class waiting lines were very short so overall it was OK. LIS-LHR leg was with a rather lacklustre and inattentive European fleet crew after the initial service of food and drinks further service consisted of clearing the dishes and on board sales. Other than that Business class flight attendants were behind the curtain reading magazines chatting and rather attending to themselves than the passengers. At 11 am the Business Class food served was a plate cold cuts a roll and three thin slices of fruit (basically a make yourself sandwich on a plate). Extremely disappointing and poor for a lunch flight scheduled to arrive in Heathrow after 1 pm. On the LHR-VIE leg service was“afternoon tea”meaning again sandwiches. However this time at least it was more appropriate due to time of day. Full bar service on both flights and the French white wine served was ok. The mixed fleet crew on the second leg was more interested in its job and up to BA standards regarding friendliness and attentiveness. Transfer procedures in LHR Terminal 3 were fast and friendly even the extra security checks required for all transfers at LHR (even Intra-EU) were hassle free and easy. BA’s Galleries Lounge in LHR T3 was again an oasis of rest amid a busy airport; comfortable with excellent drink selection and decent food selection including several good warm choices such as various curries. In Lisbon Portela BA uses the shared Blue Lounge which is small and offerings are rather limited; some limited snacks ok drinks but at least good Nespresso coffee. Although small it was not crowded which is a plus. So BA delivered a good basic product for economy standards but I fail to see any real Business Class service offered here (not seat wise not meal wise not service wise). The only saving grace was the Galleries Lounge in Heathrow T3 and the better service on the LHR-VIE leg. Not recommended for Business Class within Europe based on this experience. (Oneworld Sapphire).,,positive,positive,positive,joy
"I was horrified by the extremely small seats and the poor training that the crew clearly receives. Not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant. The seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly, if the seat in front of you is reclined you have no choice but to recline your own, or else you are breathing in the head/ scalp of the person in front of you. Food was revolting, they don't even provide napkins unless you ask with the pre-meal drinks and the secondary meal. The last time I flew BA it was a completely other experience and I was so sorry to see how far the quality level has slid. It was really majorly disappointing and I regret that I have already purchased 2 other intercontinental trips with the company. I will now have to see if I can change them. The pathetic 250 ml bottle of water, it's just a sip. On the shorter flights the seats couldn't even be reclined which was a great pity since the flight was delayed by almost 3 hours and we had to wait on board.",,negative,negative,negative,sadness
"The booking of our flights was straightforward. However, when we have paid to sit next to each other, and paid for the opportunity to book seats in advance, you would expect the seating plan for the aircraft to clearly show where all the toilets and galleys are so that as the paying customer we would have a choice as to whether to is near them particularly on a long haul flight, on this occasion British Airways failed miserably. The plane was new and the seats were comfortable and spacious enough, not the upper deck in ecconomy. However being seated next to the toilets was not the best location, particularly as we had pre booked the seats online. The service was excellent and the staff helpful and happy to be there. The gluten free meals that we ordered were provided although the breakfast could have been more substantial especially after an 11 hour flight. All in all a stress free journey which was comfortable.",,positive,positive,positive,joy
On a recent vacation from Sacramento to Paris some friends and I had a terrible experience with another airline and had some trepidation about our return flight from Paris to Sacramento. We did however choose British Airways for the return flight and none of us had flown with them before. I am happy to report that the experience was totally different. Our flight was delayed by an hour which did effect our layover and did rush us to our next flight but we had a cushion of 2 hours layover so we were ok. On the flight the seats were more comfortable more leg room less noisy better entertainment due to screens on seats in front of you and the access to the bathroom was much easier to navigate. We also had seats relatively together which the other airline refused to offer us even though we had made the reservation months in advance. Their screen was so far ahead I couldn't see it and it offered only one choice. The staff was very kind to hydrate us frequently and gave us plenty to eat and it was all very palatable. I will definitely recommend British Airways for International flights to my friends.,,positive,positive,positive,joy
"I booked my flights to the UK in May 2019 and had to cancel our trip to the UK on March 12, 2020 .. 4 days prior to leaving because a travel ban was going to start on March 16, 2020 and because I am older and have pre-existing health conditions, my doctor asked me to postpone our trip. The British Airways customer care associates I talked with were great and caring and they were able to issue us travel credit for tickets that were non-refundable. Now the problem is, I need to rebook and use the travel credit by May 2020 for travel to the UK by May 2021 or lose all the credit from our trip. How can I make travel arrangements by May 2020 with the coronavirus out of control throughout the world and travel bans in place? I understand BA has policies in place, but I cannot understand how you can expect someone to make travel arrangements while the world is dealing with COVID-19. I feel this timeline is unfair to any consumer who has trust with their preferred airline, my preferred airline is still British Airways. British Airways needs to reevaluate their policies during a world crisis....and make adjustments as needed to be fair to consumers who trust them. Whether a consumer has purchased refundable or non-refundable tickets should not matter, because forcing a consumer to rebook while a world pandemic is happening and not adjusting your policies to the situation can change your loyal customers, remember, there are many other airlines out there to choose from. The coronavirus is something that no one has any control of. I guess the bottom line is I think British Airways needs to put some common sense to their policy. I want to rebook and travel, but I am hesitant to this at this time. Hopefully, May 2020 this pandemic is over for all of us. ",,positive,positive,negative,anger
"Refusing to pay £73 pp to reserve seats in Business Class (a stunt more worthy of Ryanair) I checked in two passengers online 20 minutes after online check in opened only to find that one seat was in row 7 and the other in row 11. There was no option to change seats and no phone contact given. I tried to phone the British Airways Kuala Lumpur office but the number given would not connect. I then went to the BA Office listed in Kuala Lumpur only to find it had been closed and moved to another location in Ampang Park. Still having asked several people no one knew of a BA office. Arriving at the airport I was told the flight was full but a change of seats might be possible once on board, which proved to be the case. But I then found myself next to a family with three very small children. Although the parents did what they could to amuse the children it was always going to difficult during a 13 hour flight. It was a long night and a very difficult flight. The sight of young children in nappies wandering around is not what I expected in business class. All in all it was a flight in flying nursery which I would rather forget. I now know why other reviewers on this site have used the acronym BA - Better Avoid. Business class beware.",,negative,neutral,negative,anger
Original flight was cancelled with no explanation. There was no representative to help in rebooking We had to call customer service (long distance call) The line kept dropping Had to do 40 + calls to find new booking only to discover the only way I could fly the next day was by paying business class. No help with hotel for the night stay.,,negative,positive,negative,anger
After my flight to Vienna with BA I was hoping for a slight improvement on the way back - however the service was very boring. Drink service was rushed with the stewardess pouring an entire miniature of vodka into a drink before putting a drop of Tomato juice in when I asked for a Tomato and Vodka - unpalatable. Was glad to be off the plane in all fairness. Hoping that one day BA will wow me.,,positive,negative,negative,anger
"London to Chicago. Could it get any worse? The flight to Chicago was equipped with the usual ancient Boeing 747-400. The British Airways First Class product doesn't come up to modern Business Class standards. This particular flight was late again, and the food / wine was simply awful. There is nothing remotely elegant about BA First Class, and the crew demonstrate no sophistication. This experience was like dining at your worst restaurant chain. Finally, not only is the aircraft tired and worn out, but the in flight so-called entertainment system did not work, and had to be rebooted twice. The First Class seat is a bad joke, and extraordinarily uncomfortable. British Airways are at least twenty years out of date with their entire First Class product. All that can be said about this airline is woeful. The Concorde First Class lounge at Heathrow is filthy dirty, and desperately needs refurbishment.",,negative,negative,negative,sadness
"London Heathrow to Mumbai. I've been a loyal BA customer for several years, but this was a journey of disappointment. I was late to the airport due to delays on the train line. Called customer services while on my way, and after 15min of wait I was told they couldn't do anything about it, but gave me the number of the airport. It was incorrect. At Terminal 5 I asked the attendant for help given the rush. He was quite rude and said I had to join the queue unless I was flying business. At the gate, we had a late boarding because 'the computer wasn't working'. I was flying premium economy and let me say, on this flight (BA0199) it is like the economy class of several other airlines.  Plus this 777 was in desperate need of a refurbishment. My headrest was hanging down the seat, the screen was filthy and its arm broken so it wouldn't stay in position. The flight attendant (who I never saw smiling for the entire flight) said he had reported it on the way in. I asked to change my seat. In my new seat the headphone audio had regular loud cracks and pops (it wasn't the headphones, I tried mine too). The entertainment system was poor. It started nearly an hour into the flight and stopped an hour before landing, plus the 'noise cancelling' headphones are NOT noise cancelling - try pulling the jack out and it doesn't make a difference. Overall a very poor experience, crowned by a terrible breakfast. Sorry BA but you are stuck in the 80s and you're slipping further down my list of preferences.
",,negative,negative,negative,anger
"Food on this 4+ hours flight from Moscow to Heathrow was a filled roll and 1 cup of tea/coffee. The other London-Moscow flights provide a full meal. The cabin staff were almost robotic and programmed in the discharge of their duties with no interaction with passengers. When the flight touched down, it was 75 minutes before we disembarked, 6 British Airways flights that landed after us discharged their passengers whilst our flight waited first at a stand and then 15 minutes for an air bridge operator. My email to their CEO produced nothing except a plastic apology, even though the captain continually said we were waiting on find the guy responsible for stand allocation. Used to be BA was a world leader. They've followed the empire and dinosaurs into extinction.",,positive,positive,negative,anger
"Lima to Gatwick. Helpful and courteous cabin crew.  The seat was uncomfortable and the in flight entertainment system derisory. The screen was small and in poor condition. Movies shown in the in flight magazine were unavailable and the selection of movies was poor. The touch screen failed to respond correctly and at times occasionally, without warning, increased the sound level to maximum without touching the screen or handset. A 12 hr flight with a rubbish entertainment system.",,neutral,negative,negative,fear
"London to Seville. Following on from mistakenly booking a return flight with BA despite having a previous confirmed booking with a competitor, I quickly called up BA to resolve the issue. They understood the problem and gave me a full refund. The agent was exceptionally helpful on the phone and provided me a quick answer and solution to the problem. I don’t believe most airlines would have accepted my reasoning, however it’s great to see BA treat their customers with care.",,positive,positive,positive,joy
"No, no, no, British Airways. You've messed up. Someone sat in an office thought it would be a good idea to charge for food and drink on flights, just like many other airlines do, and they said ""Let's provide food from M&S: that will make our offering classier than the rest."" The problem on my 18:55 flight from Marrakech to London was that — it being dinner time — loads of passengers wanted food and drink, so the service was inevitably snail-paced. A piece of friendly advice, BA, you need to provide 4 cabin crew to handle economy on a dinnertime flight, or you merely annoy your customers. Sitting near the back of the plane, my wife and I got served 2 hours into the 3.5 hour flight, by which time our tongues were hanging out. But what's this? Only two sandwiches left, and we bagged the last two packets of crisps. You're promising things you can't deliver, BA. There is such as thing as advertising standards, and your beautifully photographed food and drinks menu drives a coach and horses through the principles of advertising standards. The 2 cabin crew serving economy soldiered on with their service most impressively, even managing to smile as for the umpteenth time someone's payment card failed to register on their machine. (Hint for frequent flyers: if your card just doesn't work you get your food and drink for free.) Meanwhile, behind the service trolley, a phalanx of passengers with their legs tightly crossed tried to avoid exhorting the cabin crew to move their trolley so they could access the toilets to relieve themselves (a very appropriate expression in the circumstances). Other passengers simply wanted to relieve themselves of the packaging of the food they bought hours earlier: several of them eventually came down the aisle waving their empty bottles and M&S extensive food packaging for the crew to remove from their sight. Whoever at British Airways is employed to read reviews on this website, please take note and pass it on to your management if you dare. The process I call 'Ryanisation' of British Airways is almost complete. You now charge for checked baggage (yes, I know that's indirect, but only idiots can't see through the scam), you exert an extortionate price for those unfortunate enough to be tall, and who need the legroom of emergency exit seats, and now you've devised a marvellous system of charged cabin service for food and drink on 'short haul' (what even BA used to call 'medium haul') flights that annoys more than half the customers on board the plane. Oh, and by the way: why don't the cabin crew deploy the A320 overhead monitors that display the flight progress? Too costly, perhaps? I suggest that BA needs to return to the days of advertising when you had a wonderful slogan, but with a minor revision: ""British Airways, the world's least favourite airline"".",,positive,positive,positive,joy
"Heathrow to Barcelona. Reliable. No longer feels like travelling with a premium airline. Very functional, but unfortunately at a cost. Flight took off late, because luggage for a passenger needed to be off loaded, however arrived on time in Barcelona. Excellent information from the flight deck. Cabin crew robotic and lacked personality. Enough has already been said about charges for food and drink. Overall falling well below the standards of the competition. Great pity really.",,positive,positive,positive,joy
"London to Los Angeles. Booked this trip eight months previously and as I lost my status on BA a few years ago were forced to pay an additional £180 for our two seats. The flight I chose was a Boeing 787 and was prepared to part with the extra cash so we could be in the small front cabin. Never expecting anything to go according to plan with BA and our flight was cancelled a few days before. We were rebooked onto a later flight which they changed from an A380 to a twenty one year old Jumbo. We were then seated right at the back of Club World to benefit from a screaming child sat in the front row of premium. We were greeted by a rather pleasant steward who told us he would be looking after us for the trip, he then disappeared never to be seen again. Food was served within an hour of take off for an eleven hour flight. The steak so tough was it impossible to cut and could only be eaten by picking up and biting pieces off. After a few hours I went  to the galley to seek out a drink as the crew had disappeared, stood there being completely ignored by three stewardesses. Reluctantly one stopped chattering and managed to get me a drink. The second meal was served about seven hours after lunch, steak sandwich, at least that one was edible. The seat was as you would expect on such an old plane totally knackered, getting out was a task in itself. I bought WiFi for the whole trip, it ran for about 50% of the flight, yet their customer (non existent) services refuse to refund the payment even though I sent them a whole host of screenshots showing at various times there was no wifi service, but they are happy to note the problems. We have avoided BA now for some time, except where there is no other option as on Club Europe. But with transatlantic they are probably the bottom of the pile. We only took this trip to use up some Avios, they have all been used now and we could come back from LAX on Virgin Atlantic. Never again, BA club world offered is a farce in today's business market.",,negative,neutral,negative,anger
"London to Kuala Lumpur. This is my first time flying with BA to Kuala Lumpur on the Dreamliner 787. Was very excited for this trip as BA has made a come back to fly to Malaysia after stopping the service for many years. I paid to seat at the first row to have a longer leg room. I absolutely regretted and disappointed for the choice. I made a complaint to the crew that my seat (30B) has sunk and I felt uncomfortable to be sitting on this seat for the next 13 hours. Crew only offered me an extra pillow to seat on it, which didn't help either. The tv screen on 30B was also not working and I didn't watch anything during the whole duration of the flight. I would recommend to totally avoid sitting on all row 30 as the seats are so close to the lavatories that you can hear toilets flusing at all time. This will be my last time flying with BA unless the aircraft is changed to perhaps the A380. I am dreading on my next return flight back to London. Crews were friendly and helpful. No fault with that.",,negative,positive,negative,sadness
"We are on our way home after a 3 week holiday in the UK and have had all 4 flights with British Airways. Our 2 internal flights between London and Edinburgh were great due to the friendly staff and there were no complications, however, the 2 long haul flights have been a nightmare. Our initial flight from Cape Town to Heathrow was a full flight, the staff seemed very overwhelmed, they ran out of certain food and drinks and as we were in economy right at the back we got the ""leftovers"", my entertainment system was also not working. We are about to board the return flight from Heathrow to Cape Town and the check in process was horrific. I had booked through Expedia and somehow my return flight did not have a checked in bag allowance which I didn't realise until we checked in. I ended up having to pay an additional £85 for my bag, after being told to try do it under manage my booking on the app which was not possible and I also spent 20 minutes on hold trying to get through to the BA customer service number with no luck. We asked to speak to someone is person in terminal 5 and were told that they have no customer service desk in the main BA terminal.  Overall it took us about 2 hours to get me checked in after speaking to about 6 different staff members, none of which could help me. There was also a discrepancy with the baggage allowance as my friend I am traveling with was allowed 26kg and after paying to add my bag I was told it was overweight as I was only allowed 23kg and the bag was 24kg. Compared to having flown with other airlines I will never fly with BA again, the level of service is shocking compared to what you would expect.",,positive,neutral,negative,fear
